昵称,1位,2位,3位,4位,击飞,1位率,2位率,3位率,4位率,击飞率,累计pt,场均收支pt,平顺,场数,
WoZai,2,2,5,1,1,20.00%,20.00%,50.00%,10.00%,10.00%,14.90,1.49,2.5000,10,
在此之前放炮,0,0,0,2,2,0.00%,0.00%,0.00%,100.00%,100.00%,-129.80,-64.90,4.0000,2,
西伯利亚胖狐狸,0,1,1,1,0,0.00%,33.33%,33.33%,33.33%,0.00%,-26.50,-8.83,3.0000,3,
南NaN,1,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,18.80,18.80,1.0000,1,
东林生新松,0,0,0,1,1,0.00%,0.00%,0.00%,100.00%,100.00%,-40.40,-40.40,4.0000,1,
半歩の鬼神鏡,1,1,0,0,0,50.00%,50.00%,0.00%,0.00%,0.00%,50.20,25.10,1.5000,2,
俾拉可,0,1,0,1,0,0.00%,50.00%,0.00%,50.00%,0.00%,-20.60,-10.30,3.0000,2,
辛翼,1,1,0,0,0,50.00%,50.00%,0.00%,0.00%,0.00%,33.40,16.70,1.5000,2,
防守吃4进攻吃5,1,0,0,0,0,100.00%,0.00%,0.00%,0.00%,0.00%,40.70,40.70,1.0000,1,
筱殇,0,1,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,2.20,2.20,2.0000,1,
熊本橘子,0,1,0,0,0,0.00%,100.00%,0.00%,0.00%,0.00%,18.60,18.60,2.0000,1,
伊莉雅QAQ,0,0,0,1,0,0.00%,0.00%,0.00%,100.00%,0.00%,-28.80,-28.80,4.0000,1,
